"","date","TWI Zonal LBMP","TWI Actual Load","TWI Zonal Congestion","Air_Temp","Dewpoint"
"1",2020-01-01,20.62,5692.5,-11.25,3.9,-6.1
"2",2020-01-02,20.67,6323.6,-0.87,5,-0.6
"3",2020-01-03,23.06,6303.7,0,6.7,6.7
"4",2020-01-06,31.45,6427.1,-2.18,3.3,-0.6
"5",2020-01-07,49.24,6480.1,-30.99,6.1,-5
"6",2020-01-08,20.48,6581.9,-5.57,3.9,-0.6
"7",2020-01-09,29.84,6727.4,0.17,-1.7,-13.3
"8",2020-01-10,27.05,6295,-8.11,6.1,3.3
"9",2020-01-13,27.22,6332.1,0,7.8,5
"10",2020-01-14,23.88,6387.3,0.03,6.1,3.9
"11",2020-01-15,21.88,6143.1,0,9.4,0.6
"12",2020-01-16,19.01,6353.1,-0.12,9.4,-1.1
"13",2020-01-17,111.08,6714.8,-12.83,-3.9,-17.2
"14",2020-01-20,49.55,6544.8,-23.36,-2.8,-13.3
"15",2020-01-21,31.33,6829.7,-9.76,-2.2,-11.7
"16",2020-01-22,29.21,6569.1,-15.09,0,-7.8
"17",2020-01-23,23.53,6439.9,-1.89,3.9,-4.4
"18",2020-01-24,17.84,6243,-4.66,8.9,-3.9
"19",2020-01-27,24.86,6399.3,-0.09,5.6,0
"20",2020-01-28,21.5,6426.8,0,6.1,-2.2
"21",2020-01-29,16.43,6399.9,0,2.2,-7.2
"22",2020-01-30,23.44,6501.9,0,0.6,-8.3
"23",2020-01-31,29.43,6385.1,-8.22,6.1,1.1
"24",2020-02-03,21.22,6100.5,-2.17,7.2,3.3
"25",2020-02-04,26.12,6135.5,0,7.8,6.1
"26",2020-02-05,18.38,6315.9,0,5,-1.1
"27",2020-02-06,20.25,6421.8,0,5.6,5
"28",2020-02-07,38.73,6342.2,-11.92,10.6,10.6
"29",2020-02-10,19.87,6436.9,0,7.8,3.3
"30",2020-02-11,15.06,6224.9,-0.36,7.8,7.2
"31",2020-02-12,18.03,6228.6,0,6.1,-6.7
"32",2020-02-13,20.72,6331,-0.14,5,3.9
"33",2020-02-14,19.16,6456.3,0,0.6,-12.8
"34",2020-02-17,18.86,5631.5,-1.94,7.8,-4.4
"35",2020-02-18,16.53,6334.5,-1.41,7.2,1.7
"36",2020-02-19,14.04,6093.7,0,7.8,-6.1
"37",2020-02-20,30.44,6419.7,-2.67,1.7,-11.7
"38",2020-02-21,98.97,6418.3,-57.27,-1.7,-15
"39",2020-02-24,37.81,5970.9,-20.08,9.4,2.2
"40",2020-02-25,41.66,6141.5,-21.83,8.3,7.2
"41",2020-02-26,19.15,6187.1,-0.01,8.3,8.3
"42",2020-02-27,20.85,6210,-0.35,5,-3.9
"43",2020-02-28,20.53,6300.4,-4.52,2.2,-9.4
"44",2020-03-02,17.25,6017.6,-12.5,9.4,4.4
"45",2020-03-03,26.14,6122.9,-18.21,10.6,7.8
"46",2020-03-04,22.92,5929.6,0,10.6,-3.3
"47",2020-03-05,19.02,5976.1,0,8.3,-3.9
"48",2020-03-06,15.57,6248.9,-0.02,8.3,3.3
"49",2020-03-09,13.32,5848.9,0,13.3,0.6
"50",2020-03-10,13.95,5881.2,-0.34,15.6,7.2
"51",2020-03-11,17.65,5773.5,-2.72,11.7,-1.1
"52",2020-03-12,18.8,5995.1,-4.42,7.8,5.6
"53",2020-03-13,15.79,5790.5,-3.55,10.6,10.6
"54",2020-03-16,18.19,5784.6,0,5,-4.4
"55",2020-03-17,22.37,5598.7,0,7.8,7.8
"56",2020-03-18,14.56,5450.9,0,9.4,0
"57",2020-03-19,14.5,5532.7,0,8.9,7.8
"58",2020-03-20,5.28,5341.1,0,9.4,8.3
"59",2020-03-23,21.31,5696.2,0,3.9,2.2
"60",2020-03-24,16.55,5045.4,0,8.9,1.7
"61",2020-03-25,12.67,5288.9,0,7.8,3.9
"62",2020-03-26,13.46,4921,0,10,0
"63",2020-03-27,10.74,4818.7,0,17.2,4.4
"64",2020-03-30,17.19,5015.1,-0.25,7.2,5.6
"65",2020-03-31,13.24,4964,0,6.7,2.8
"66",2020-04-01,12.28,4799.8,-0.11,8.9,-1.1
"67",2020-04-02,10.28,4788.2,-0.58,10.6,-0.6
"68",2020-04-03,15.04,4914.2,0,10,6.7
"69",2020-04-06,10.94,4660.7,0,14.4,2.8
"70",2020-04-07,14.62,4622.3,-2.78,16.7,0.6
"71",2020-04-08,13.87,4687.6,0,14.4,10.6
"72",2020-04-09,10.89,4706,-6.9,11.1,10
"73",2020-04-10,12.4,4801.4,0,7.8,-4.4
"74",2020-04-13,11.91,4969.1,0,13.3,13.3
"75",2020-04-14,13.03,4651.6,-4.76,11.1,-1.1
"76",2020-04-15,15.52,4670.3,0,8.9,-5.6
"77",2020-04-16,10.04,4764.4,-5.8,8.3,-6.7
"78",2020-04-17,15.06,4888.1,-3.58,8.3,-6.1
"79",2020-04-20,13.9,4694.1,0,10,0.6
"80",2020-04-21,11.91,4836.9,-3.57,11.1,8.9
"81",2020-04-22,15.39,4765.7,-3.04,7.2,-8.3
"82",2020-04-23,18.88,4845.4,-0.58,7.2,-5
"83",2020-04-24,19.98,4993.1,0,8.9,8.3
"84",2020-04-27,16.1,4940.3,-0.09,8.3,3.3
"85",2020-04-28,11.18,4637.9,0,13.3,1.1
"86",2020-04-29,16.85,4930.7,-1.84,10,8.3
"87",2020-04-30,17.24,4910.2,-0.46,13.3,13.3
"88",2020-05-01,12.24,4799.4,-0.02,12.8,12.8
"89",2020-05-04,16.48,4739.6,0,20,8.3
"90",2020-05-05,12.02,4653.3,0,12.8,-4.4
"91",2020-05-06,17.38,4881.7,0,10.6,6.1
"92",2020-05-07,15.4,4657.8,-6.52,15.6,-1.1
"93",2020-05-08,21.62,4870.2,-1.6,12.2,-2.8
"94",2020-05-11,15.35,4759.6,0,13.3,6.7
"95",2020-05-12,10.86,4676.4,0,12.2,-3.3
"96",2020-05-13,11.22,4673.5,0,12.2,-3.9
"97",2020-05-14,14.26,4673.9,0,15.6,-1.1
"98",2020-05-15,11.4,5375.6,0,22.2,16.7
"99",2020-05-18,9.94,4882.4,-1.37,19.4,7.2
"100",2020-05-19,12.32,4750.7,-2.97,19.4,1.7
"101",2020-05-20,15.62,4716.7,-6.77,17.2,2.2
"102",2020-05-21,13.48,4761.5,0,16.1,8.3
"103",2020-05-22,15.45,5077.1,0,21.7,15
"104",2020-05-25,17.01,4643.3,0,18.3,14.4
"105",2020-05-26,29.53,5299.2,0,18.9,15.6
"106",2020-05-27,16.33,5495,0,18.9,16.1
"107",2020-05-28,18.73,5680.9,-0.25,21.1,17.8
"108",2020-05-29,16.59,6165.3,0,21.1,17.8
"109",2020-06-01,14.69,5015.7,-0.21,17.8,2.2
"110",2020-06-02,16.96,5175,-0.04,19.4,9.4
"111",2020-06-03,13.96,6006.4,-0.09,22.8,16.7
"112",2020-06-04,26.89,6620.1,0,27.8,17.8
"113",2020-06-05,20.19,6671,0,22.2,20
"114",2020-06-08,15.09,6088.6,-0.04,23.3,6.1
"115",2020-06-09,52.01,7106.8,-3.08,26.7,13.9
"116",2020-06-10,36.47,7504.2,0.12,25.6,19.4
"117",2020-06-11,19.39,6903.2,-0.65,20.6,18.3
"118",2020-06-12,19.54,7007.6,-6.17,27.2,12.8
"119",2020-06-15,16.87,5831.5,-0.59,21.1,13.3
"120",2020-06-16,16.83,5951.4,0,23.9,7.2
"121",2020-06-17,23.46,6197.3,0,25,13.9
"122",2020-06-18,46.76,6492.1,0,22.8,19.4
"123",2020-06-19,23.75,6876.8,0,24.4,17.8
"124",2020-06-22,60.78,8485.2,0,29.4,20
"125",2020-06-23,22.47,8330.8,-2.12,27.2,19.4
"126",2020-06-24,29.51,7964.789,-8.79,29.4,17.8
"127",2020-06-25,17.54,7421.609,0,27.2,11.1
"128",2020-06-26,26.81,7617.442,0,29.4,11.1
"129",2020-06-29,58.12,8173.756,-30.64,28.3,18.3
"130",2020-06-30,19.38,7263.4033,-0.07,23.9,17.8
"131",2020-07-01,42.64,7237.756,-23.91,22.8,20.6
"132",2020-07-02,38.72,8248.833,-2.88,30,16.7
"133",2020-07-03,58.58,8080.847,-28.81,31.7,19.4
"134",2020-07-06,31.58,8272.622,-7.63,31.7,16.7
"135",2020-07-07,30.55,8014.519,-1.49,26.1,20.6
"136",2020-07-08,30.48,8262.55,-3.28,28.3,22.8
"137",2020-07-09,86.14,8778.804,-2.39,27.8,22.8
"138",2020-07-10,22.14,7511.2974,0,24.4,22.8
"139",2020-07-13,32.46,8581.906,-2.91,27.8,20.6
"140",2020-07-14,27.81,8214.919,-1.6,28.9,15
"141",2020-07-15,33.37,7843.236,-5.65,25,18.9
"142",2020-07-16,24.53,7237.0923,-0.86,24.4,16.7
"143",2020-07-17,32.24,7890.8374,-2.98,23.3,22.2
"144",2020-07-20,28.97,9900.209,-0.04,32.8,23.3
"145",2020-07-21,30.81,9562.782,-0.13,30.6,19.4
"146",2020-07-22,50.36,10042.059,-20.59,29.4,22.8
"147",2020-07-23,60.71,9398.436,-26.93,24.4,23.3
"148",2020-07-24,18.63,7810.622,0,22.2,21.7
"149",2020-07-27,57.31,9818.856,-0.72,33.3,18.3
"150",2020-07-28,34.53,9912.318,-0.98,32.2,22.8
"151",2020-07-29,44.27,9707.28,-3.89,29.4,21.7
"152",2020-07-30,43.78,9607.426,-19.87,29.4,21.1
"153",2020-07-31,30.84,8056.443,-0.09,22.8,20.6
"154",2020-08-03,35.8,9280.439,-1.43,28.9,18.3
"155",2020-08-04,33.02,7472.3115,-29.14,25,23.9
"156",2020-08-05,26.78,8574.675,-7.69,27.2,21.1
"157",2020-08-06,27.78,7928.392,-7.11,23.9,18.3
"158",2020-08-07,27.16,7380.113,-0.56,23.9,19.4
"159",2020-08-10,86.14,9532.472,0.69,30,23.3
"160",2020-08-11,52.51,9271.967,0,26.1,23.3
"161",2020-08-12,72.51,8991.944,-36.64,28.3,25
"162",2020-08-13,31.85,8007.4155,0,25.6,21.7
"163",2020-08-14,32.72,8225.051,0,29.4,18.3
"164",2020-08-17,25.38,7237.8765,-0.75,24.4,17.8
"165",2020-08-18,28.03,7369.5425,0,25.6,17.2
"166",2020-08-19,20.96,6849.8447,-0.74,19.4,17.8
"167",2020-08-20,23.79,6983.3833,-3.79,25.6,12.8
"168",2020-08-21,26.26,7763.0664,0,27.2,18.3
"169",2020-08-24,91.72,9210.135,-22.22,29.4,21.7
"170",2020-08-25,47.23,9294.663,-20.23,31.7,18.3
"171",2020-08-26,22.17,7079.529,-4.24,23.9,9.4
"172",2020-08-27,101.63,8932.675,-91.28,26.1,20
"173",2020-08-28,25.42,8293.168,-4.66,27.8,17.8
"174",2020-08-31,16.16,6663.316,-0.13,22.8,13.9
"175",2020-09-01,23.57,7164.1655,-1.22,25,18.9
"176",2020-09-02,27.09,7794.311,-3.39,24.4,22.2
"177",2020-09-03,20.58,8018.514,-1.99,28.3,13.3
"178",2020-09-04,37.16,8007.994,-18.77,28.3,19.4
"179",2020-09-07,18.23,6535.577,-0.39,24.4,16.7
"180",2020-09-08,48.99,7990.0303,0,26,19
"181",2020-09-09,34.24,7799.257,-34.07,26,20
"182",2020-09-10,26.31,8436.712,-1.53,26,23
"183",2020-09-11,19.14,7170.166,-1.36,24,18
"184",2020-09-14,18.48,6654.782,-1.93,23,15
"185",2020-09-15,15.71,5683.2954,0,17.8,7.2
"186",2020-09-16,10.42,5921.6274,0,20.6,12.2
"187",2020-09-17,16.85,6417.3896,0,22.2,16.7
"188",2020-09-18,15.18,5900.5884,-1.5,21.1,12.2
"189",2020-09-21,14.74,5354.7207,0.48,17.2,2.2
"190",2020-09-22,17.96,5535.8003,-3.4,20.6,1.7
"191",2020-09-23,19.34,6100.708,-4.3,25,10.6
"192",2020-09-24,14.87,6030.16,0,23.3,12.2
"193",2020-09-25,23.86,6323.708,-4.73,22.8,16.1
"194",2020-09-28,28.52,6935.6006,-4.97,23.3,20
"195",2020-09-29,24.12,6821.02,-4.15,22.2,20.6
"196",2020-09-30,18.11,5983.1225,-0.72,18.9,10
"197",2020-10-01,18.27,5900.8382,0,21.7,11.1
"198",2020-10-02,13.94,5567.99,0,14.4,10
"199",2020-10-05,21.4,5542.9559,0,19.4,10.6
"200",2020-10-06,22.67,5643.4111,0.1,19.4,8.9
"201",2020-10-07,18.93,5920.6291,-14.3,22.2,12.2
"202",2020-10-08,15.25,5419.6554,0,17.8,4.4
"203",2020-10-09,17.02,5492.3884,0,17.8,4.4
"204",2020-10-12,25.01,5399.0785,-7.63,11.1,10
"205",2020-10-13,21.07,5493.3835,0,15,13.9
"206",2020-10-14,20.53,5479.5596,0,18.3,7.2
"207",2020-10-15,16.6,5693.0221,-0.15,20,16.1
"208",2020-10-16,23.28,5540.2441,-5.23,12.8,11.7
"209",2020-10-19,21.97,5438.5727,0,18.3,12.8
"210",2020-10-20,29.39,5758.8223,0,17.8,17.2
"211",2020-10-21,21.58,5819.5393,0,17.8,17.2
"212",2020-10-22,23.97,5895.8632,0,18.9,17.8
"213",2020-10-23,16.24,5749.2541,-1.41,19.4,16.7
"214",2020-10-26,30.28,5595.1931,-1.82,14.4,13.3
"215",2020-10-27,27.5,5442.0861,0,15,7.8
"216",2020-10-28,32.26,5540.9582,-5.83,13.3,12.8
"217",2020-10-29,22.14,5719.4397,-2.61,10,8.9
"218",2020-10-30,30.81,5675.6787,-0.75,4.4,2.2
"219",2020-11-02,24.91,5824.1234,-3.82,6.1,-7.2
"220",2020-11-03,25.86,5652.086,0,10.6,-1.7
"221",2020-11-04,12.34,5608.57,0,14.4,3.9
"222",2020-11-05,9.42,5609.0358,0,15.6,11.7
"223",2020-11-06,6.06,5578.8902,0,16.1,11.7
"224",2020-11-09,25.29,5731.9921,-14.52,19.4,8.9
"225",2020-11-10,23.06,5856.5539,-22.1,19.4,11.7
"226",2020-11-11,38.81,5919.6477,-35.25,18.3,16.7
"227",2020-11-12,24.29,5717.6677,-15.29,12.8,9.4
"228",2020-11-13,22.73,5612.5224,0,10.6,10
"229",2020-11-16,29.04,5623.7264,-34.24,11.7,-3.9
"230",2020-11-17,30.6,5783.3807,-35.17,9.4,-2.2
"231",2020-11-18,31.02,6088.5362,-11.87,2.2,-10
"232",2020-11-19,33.36,5908.927,-37.06,5.6,-5.6
"233",2020-11-20,26.02,5579.7075,-31.28,12.2,3.3
"234",2020-11-23,27.38,5685.4202,-20.17,10.6,5.6
"235",2020-11-24,24.7,5714.2195,0,7.2,-2.8
"236",2020-11-25,24.59,5576.4692,-1.9,10.6,5
"237",2020-11-26,15.35,4999.512,0,15.6,14.4
"238",2020-11-27,16.68,5230.1019,0,15,11.1
"239",2020-11-30,25.1,5801.8436,0,14.4,14.4
"240",2020-12-01,19.49,5744.5024,0,11.1,6.7
"241",2020-12-02,24.74,5955.8747,-0.95,6.7,-1.7
"242",2020-12-03,30.04,5885.7129,-0.4,6.7,-3.9
"243",2020-12-04,24.32,5888.7426,0,9.4,1.7
"244",2020-12-07,37.2,6086.9287,0,3.3,-6.1
"245",2020-12-08,22.73,6282.3456,-0.72,0,-6.1
"246",2020-12-09,43.38,6385.1122,-0.33,2.8,-3.9
"247",2020-12-10,22.13,5982.9905,0,8.3,0
"248",2020-12-11,18.14,5796.0841,0,8.9,3.3
"249",2020-12-14,25.15,6131.7118,0,3.9,2.2
"250",2020-12-15,38.13,6152.0265,-11.47,3.9,-7.2
"251",2020-12-16,67.1,6596.885,-3.83,-0.6,-10.6
"252",2020-12-17,100.61,6358.3321,0,-2.2,-3.3
"253",2020-12-18,73.09,6447.5555,-74.23,-1.7,-7.2
"254",2020-12-21,24.67,6068.3164,1.75,3.9,2.2
"255",2020-12-22,39.47,6079.6179,-36.1,6.1,0.6
"256",2020-12-23,22.86,5956.0305,-21.45,5,-5
"257",2020-12-24,30.67,5647.1915,-17.68,12.8,8.3
"258",2020-12-25,31.78,5112.2594,-3.22,11.7,10.6
"259",2020-12-28,30.57,5796.3194,-30.77,7.8,2.2
"260",2020-12-29,30.7,6058.6428,-0.08,3.9,-10.6
"261",2020-12-30,32.06,6036.092,-3.54,2.2,-5
"262",2020-12-31,33.83,5878.3304,0,7.2,5.6
